,tags,lat,timestamp,changeset,id,version,lon,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,operator,phone,website,office,geometry,osm_type,opening_hours
0,,37.316887,1560101000,0.0,3796901103,3,13.579314,Agrigento,,223,92100,Via Imera,,Confcommercio Agrigento,,,,ngo,POINT (13.579314231872559 37.31688690185547),node,
1,"{""level"":""5""}",38.219936,1482821991,0.0,4574515513,1,15.239112,,,,,,,Sportello Migranti Milazzo,,,,ngo,POINT (15.23911190032959 38.21993637084961),node,
2,,37.08119,1553362354,0.0,4972861530,3,15.277518,,,,,,,Ente Nazionale Sordomuti,,,https://www.ens.it/,ngo,POINT (15.277518272399902 37.0811882019043),node,
3,,38.14678,1569333876,0.0,5135249601,2,14.975183,Patti,IT,1,98066,Piazza Antonio Gramsci,,Fai Antiracket ACIAP “Libero Grassi”,,,,ngo,POINT (14.97518253326416 38.14677810668945),node,
4,,37.083935,1548529219,0.0,6238471419,1,15.292013,,,,,,,Patronato Enac,,,,ngo,POINT (15.292013168334961 37.08393478393555),node,
5,,37.09573,1548986934,0.0,6250779333,1,15.272201,,,,,,,Confelp,,,,ngo,POINT (15.272200584411621 37.09572982788086),node,
6,,37.095,1548986942,0.0,6250780340,1,15.277557,,,,,,,Coldiretti,,,,ngo,POINT (15.277557373046875 37.095001220703125),node,
7,,37.094093,1549066172,0.0,6252667817,1,15.274403,,,,,,,Epasa Itaco,,,,ngo,POINT (15.274402618408203 37.094093322753906),node,
8,,37.071865,1551232065,0.0,6252667818,2,15.2835,,,,,,,50 & Più Enasco,,,,ngo,POINT (15.283499717712402 37.07186508178711),node,
9,,37.095688,1549153733,0.0,6254817533,1,15.273975,,,,,,,Patronato Labor,,,,ngo,POINT (15.273975372314453 37.09568786621094),node,
10,,37.094234,1549481358,0.0,6262470831,1,15.275714,,,,,,,Associazione Nazionale Carabinieri - sezione Filippo Casentino,,,,ngo,POINT (15.275713920593262 37.094234466552734),node,
11,,37.092373,1646847913,0.0,6262470878,5,15.277111,,,,,,,Patronato Civitalia,,,,ngo,POINT (15.277111053466797 37.09237289428711),node,
12,,37.086365,1550339671,0.0,6283162270,1,15.285643,,,,,,,Patronato Uil,,,,ngo,POINT (15.285642623901367 37.08636474609375),node,
13,,37.086876,1622756927,0.0,6283162321,2,15.288447,,,,,,,Patronato Sias,,,,ngo,POINT (15.288447380065918 37.086875915527344),node,
14,,37.083866,1550691759,0.0,6291852958,1,15.282788,,,,,,,Patronato Unsic,,,,ngo,POINT (15.282788276672363 37.083866119384766),node,
15,"{""official_name"":""Associazione Nazionale Vittime Civili di Guerra""}",37.071377,1626792026,0.0,6358724333,2,15.28583,,,,,,,Anvcg,,,,ngo,POINT (15.285829544067383 37.07137680053711),node,
16,"{""official_name"":""Associazione Nazionale Mutilati e Invalidi Civili""}",37.071236,1626792026,0.0,6358724334,2,15.285904,,,,,,,Anmic,,,,ngo,POINT (15.285903930664062 37.07123565673828),node,
17,,37.07066,1554507792,0.0,6386907213,1,15.286654,,,,,,,Unione Artigiani Italiani,,,,ngo,POINT (15.286654472351074 37.07065963745117),node,
18,"{""official_name"":""Associazione Nazionale Mutilati e Invalidi di Guerra""}",37.067383,1567890757,0.0,6397417167,3,15.287728,,,,,,anmigsr@gmail.com,Anmig,,+393387272088,,ngo,POINT (15.287728309631348 37.0673828125),node,
19,"{""official_name"":""Istituto Nazionale Assistenza Sociale""}",37.06806,1581007979,0.0,6397419534,2,15.288491,,,,,,,Inas,Cisl,,,ngo,POINT (15.288491249084473 37.06806182861328),node,
20,,37.068443,1555282754,0.0,6401593526,2,15.289089,,,,,,,Cisl,,,,ngo,POINT (15.28908920288086 37.068443298339844),node,
21,,37.068336,1555282754,0.0,6401593527,2,15.288922,,,,,,,Uil,,,,ngo,POINT (15.288922309875488 37.068336486816406),node,
22,,37.072273,1557444071,0.0,6431988021,3,15.289817,,,,,,,Comitato Unicef,,,,ngo,POINT (15.289816856384277 37.07227325439453),node,
23,,37.070656,1557530383,0.0,6431988898,2,15.288792,,,,,,,Caf Cna,,,,ngo,POINT (15.28879165649414 37.070655822753906),node,
24,,37.07001,1556329169,0.0,6431988910,1,15.2888975,,,,,,,Patronato Labor,,,,ngo,POINT (15.288897514343262 37.070011138916016),node,
25,,37.070663,1556329171,0.0,6431988980,1,15.288617,,,,,,,Patronato Epasa,,,,ngo,POINT (15.288617134094238 37.07066345214844),node,
26,"{""official_name"":""Confederazione Nazionale dell'Artigianato e della Piccola e Media Impresa""}",37.070637,1556329171,0.0,6431988981,1,15.288621,,,,,,,Cna,,,,ngo,POINT (15.288620948791504 37.07063674926758),node,
27,,37.07091,1556586262,0.0,6437399054,1,15.288193,,,,,,,Coseta,,,,ngo,POINT (15.288192749023438 37.0709114074707),node,
28,"{""official_name"":""Federazione Artigiani Pensionati Italiani""}",37.08664,1624632911,0.0,6448674043,2,15.2926,,,,,,,Fapi,,,,ngo,POINT (15.29259967803955 37.086639404296875),node,
29,,37.092846,1583539344,0.0,6459447084,2,15.208606,,,,,,,Patronato Enasc,,,,ngo,POINT (15.208605766296387 37.09284591674805),node,
30,,37.616314,1577720779,0.0,7095352029,2,15.024251,,,,,,,Patronato Csn,,,,ngo,POINT (15.024250984191895 37.61631393432617),node,
31,"{""official_name"":""Ente Nazionale Assistenza Patrocinio Agricoltori""}",37.092983,1647125487,0.0,7191510230,3,15.210073,,,,,,,Enapa,,,,ngo,POINT (15.210073471069336 37.09298324584961),node,
32,,37.080616,1583511742,0.0,7272353223,1,15.274172,,,,,,,Fismic,,,,ngo,POINT (15.274171829223633 37.08061599731445),node,
33,"{""official_name"":""Unione per la Difesa dei Consumatori""}",37.06924,1592587452,0.0,7636046250,1,15.282465,,,,,,,Udicon,,,,ngo,POINT (15.282464981079102 37.06924057006836),node,
34,"{""official_name"":""Unione Nazionale Sindacale""}",37.297066,1601420107,0.0,7956460090,1,15.007656,,,,,,,Unsic,,,,ngo,POINT (15.00765609741211 37.29706573486328),node,
35,,37.240494,1602979149,0.0,8017655280,1,15.220599,,,,,,,Patronato Enasc,,,,ngo,POINT (15.220599174499512 37.24049377441406),node,
36,,37.24345,1603047563,0.0,8019143967,1,15.220175,,,,,,,Uil,,,,ngo,POINT (15.220174789428711 37.24345016479492),node,
37,,37.071854,1603923876,0.0,8060548648,1,15.28642,,,,,,,Cgn,,,,ngo,POINT (15.286419868469238 37.07185363769531),node,
38,,37.070248,1605036418,0.0,8104283542,1,15.283924,,,,,,,Encal Cisal,,,,ngo,POINT (15.283924102783203 37.070247650146484),node,
39,,37.06961,1605036418,0.0,8104283548,1,15.2820015,,,,,,,Patronato Epas,,,,ngo,POINT (15.282001495361328 37.069610595703125),node,
