,changeset,lon,id,timestamp,lat,tags,version,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,phone,website,amenity,building,drinking_water,fountain,internet_access,social_facility,source,wikipedia,geometry,osm_type,addr:housename,addr:place,operator,building:levels,parking,start_date
0,0.0,10.969731,344030350,1433077282,43.605846,"{""wheelchair"":""yes""}",6,Castelfiorentino,IT,,50051,Piazza Antonio Gramsci,,Teatro del Popolo,,,,theatre,,,,,,,,POINT (10.969731330871582 43.6058464050293),node,,,,,,
1,0.0,11.1381235,443635877,1489236794,43.82095,"{""wikidata"":""Q3981956""}",3,,,,,,,Teatrodante Carlo Monni,,,,theatre,,,,,,,it:Teatrodante Carlo Monni,POINT (11.138123512268066 43.82094955444336),node,,,,,,
2,0.0,11.189081,533613242,1256139894,43.77226,,3,,,,,,,UCI cinemas,,,,cinema,,,,,,,,POINT (11.189081192016602 43.77225875854492),node,,,,,,
3,0.0,11.185338,533694248,1262444096,43.752964,,6,,,,,,,Supercinema Aurora,,,,cinema,,,,,,,,POINT (11.185338020324707 43.75296401977539),node,,,,,,
4,0.0,11.189051,541185690,1354629514,43.753933,"{""wheelchair"":""yes""}",4,,,,,,,Cinema Cabiria,,,,cinema,,,,,,,,POINT (11.189050674438477 43.75393295288086),node,,,,,,
5,0.0,11.183282,543655663,1330766734,43.75609,,2,,,,,,,,,,,fountain,,,,,,,,POINT (11.183281898498535 43.75608825683594),node,,,,,,
6,0.0,11.183632,554830446,1646753827,43.755936,,3,,,,,,,,,,,fountain,,,,,,,,POINT (11.183631896972656 43.75593566894531),node,,,,,,
7,0.0,11.200978,560422830,1443453909,43.83377,,4,Sesto Fiorentino,,387,50019,Via Antonio Gramsci,,Multisala Grotta,,+39 055 446600,http://www.grotta.it/,cinema,,,,,,,,POINT (11.20097827911377 43.833770751953125),node,,,,,,
8,0.0,11.186044,595572469,1281089172,43.65767,,2,,,,,,,Cinema Everest,,,,cinema,,,,,,,,POINT (11.186043739318848 43.65766906738281),node,,,,,,
9,0.0,11.214673,599676970,1578409452,43.945522,"{""ele"":""423.1""}",2,,,,,,,,,,,fountain,,yes,,,,,,POINT (11.214673042297363 43.94552230834961),node,,,,,,
10,0.0,11.187631,600451657,1295096830,43.658497,,3,,,,,,,,,,,fountain,,,,,,,,POINT (11.187630653381348 43.65849685668945),node,,,,,,
11,0.0,11.453129,700021982,1271526324,44.14601,,1,,,,,,,Fontana Pieve,,,,fountain,,,,,,,,POINT (11.453128814697266 44.14601135253906),node,,,,,,
12,0.0,11.238173,826210811,1322668432,44.000523,,3,,,,,,,,,,,fountain,,,,,,,,POINT (11.23817253112793 44.00052261352539),node,,,,,,
13,0.0,11.249837,861471375,1581940163,43.768135,"{""wikidata"":""Q3747408""}",7,,,,,,,Fontana dello Sprone,,,,fountain,,no,,,,,it:Fontana dello Sprone,POINT (11.249836921691895 43.76813507080078),node,,,,,,
14,0.0,11.140931,1085564299,1489236838,43.573875,"{""wikidata"":""Q3982113""}",3,,,,,,,Teatro Regina Margherita,,,,theatre,,,,,,,it:Teatro Regina Margherita,POINT (11.140931129455566 43.573875427246094),node,,,,,,
15,0.0,11.3188925,1088852932,1533904139,43.58313,,2,,,,,,,Cinema Boito,,,,cinema,,,,,,,,POINT (11.318892478942871 43.5831298828125),node,,,,,,
16,0.0,11.294288,1106035749,1333048191,43.72462,,2,,,,,,,Teatro SMS,,,,theatre,,,,,,,,POINT (11.29428768157959 43.7246208190918),node,,,,,,
17,0.0,11.324362,1106144167,1489236839,43.726032,"{""wikidata"":""Q3879869""}",3,,,,,,,Teatro dell'Antella,,,,theatre,,,,,,,it:Nuovo Teatro Comunale,POINT (11.324361801147461 43.72603225708008),node,,,,,,
18,0.0,11.183375,1192965132,1347122292,43.657497,,2,,,,,,,,,,,fountain,,,,,,,,POINT (11.183375358581543 43.65749740600586),node,,,,,,
19,0.0,11.240608,1260432731,1451322285,43.79527,,3,,,,,,,Cinema Flora Atelier,,,,cinema,,,,,,,,POINT (11.240608215332031 43.79526901245117),node,,,,,,
20,0.0,11.310888,1320582045,1307818945,43.76417,,1,,,,,,,Blanco,,,,nightclub,,,,,,,,POINT (11.310888290405273 43.7641716003418),node,,,,,,
21,0.0,11.310775,1320582052,1307818946,43.764572,,1,,,,,,,Terrazza Martini,,,,nightclub,,,,,,,,POINT (11.310774803161621 43.76457214355469),node,,,,,,
22,0.0,11.228766,1460287946,1328358139,43.82042,,2,,,,,,,,,,,fountain,,,,,,,,POINT (11.228766441345215 43.82041931152344),node,,,,,,
23,0.0,11.106095,1589290143,1326533141,43.76884,,1,,,,,,,,,,,theatre,,,,,,,,POINT (11.106095314025879 43.76884078979492),node,,,,,,
24,0.0,11.106184,1589290251,1326533143,43.768913,,1,,,,,,,,,,,cinema,,,,,,,,POINT (11.106184005737305 43.76891326904297),node,,,,,,
25,0.0,11.241391,1589563179,1489236867,43.79554,"{""wikidata"":""Q3982328""}",3,,,,,,,Teatro di Rifredi,,,,theatre,,,,,,,it:Teatro di Rifredi,POINT (11.2413911819458 43.79553985595703),node,,,,,,
26,0.0,11.566933,1634244806,1338885196,43.86025,,2,,,,,,,,,,,fountain,,,,,,,,POINT (11.566932678222656 43.86024856567383),node,,,,,,
27,0.0,11.198793,1652361845,1330480953,43.758583,,1,,,,,,,,,,,fountain,,,,,,,,POINT (11.198793411254883 43.758583068847656),node,,,,,,
28,0.0,11.184908,1656215348,1330708772,43.756153,,1,,,,,,,,,,,fountain,,,,,,,,POINT (11.184907913208008 43.75615310668945),node,,,,,,
29,0.0,11.260719,1670743564,1331490822,43.77095,,1,,,26r,,Via dei Pandolfini,,Babylon,,,,nightclub,,,,,,,,POINT (11.260719299316406 43.77095031738281),node,,,,,,
30,0.0,11.261227,1680347940,1332093568,43.778816,,1,,,,,,,,,,,fountain,,,,,,,,POINT (11.261226654052734 43.77881622314453),node,,,,,,
31,0.0,11.138168,1750926196,1336908338,43.805527,,1,,,,,,,Circolo MCL Don Renzo Paoli,,,,community_centre,,,,,,,,POINT (11.138168334960938 43.80552673339844),node,,,,,,
32,0.0,11.266391,1834044902,1556574345,43.762054,,3,Firenze,IT,84,50100,Viale Michelangiolo,,flo',,,,nightclub,,,,,,,,POINT (11.266390800476074 43.762054443359375),node,,,,,,
33,0.0,11.296706,1848296246,1489236882,43.766804,"{""wikidata"":""Q3747380""}",4,,,,,,,Fontana dell'Uomo della pioggia,,,,fountain,,,,,,,it:Fontana dell'Uomo della pioggia,POINT (11.296706199645996 43.76680374145508),node,,,,,,
34,0.0,11.453403,1868672979,1641412082,43.722454,,2,,,,,,,Poseidone che dona un cavallo ad Atena,,,,fountain,,,,,,,,POINT (11.45340347290039 43.72245407104492),node,,,,,,
35,0.0,11.184216,1903920071,1489236884,43.657722,"{""wikidata"":""Q3982073""}",3,,,,,,,Teatro Niccolini,,,,theatre,,,,,,,it:Teatro Niccolini (San Casciano in Val di Pesa),POINT (11.184215545654297 43.65772247314453),node,,,,,,
36,0.0,11.236455,1933721349,1348667084,43.81859,,1,,,,,,,,,,,fountain,,,,,,,,POINT (11.236454963684082 43.81858825683594),node,,,,,,
37,0.0,11.237603,1933721350,1348667084,43.819202,,1,,,,,,,,,,,fountain,,,,,,,,POINT (11.237603187561035 43.8192024230957),node,,,,,,
38,0.0,11.247999,2019559882,1489236888,43.79585,"{""wikidata"":""Q3629503""}",3,Firenze,,24,59100,Via Michele Mercati,,Auditorium FLOG,,,,nightclub,,,,,,,it:Auditorium FLOG,POINT (11.24799919128418 43.79584884643555),node,,,,,,
39,0.0,11.26962,2029568189,1353747280,43.76371,,1,,,9,59100,Via della Fornace,,Rooms,,,,nightclub,,,,,,,,POINT (11.269619941711426 43.763710021972656),node,,,,,,
